build_id,apfd,n_tc,n_fail,method
S2SD32.21-85-3-2-1,0.30000000000000004,15,1,Random
T2SD33.27,0.7682926829268293,41,1,Random
T2SD33.26,0.390625,32,3,Random
T2SD33.21,0.8333333333333334,9,1,Random
T1TR33.43-40,0.6433333333333333,50,3,Random
T2TV33.10,0.6986301369863014,73,2,Random
T2TV33.11,0.4038461538461538,26,2,Random
T2TV33.7,0.4375,8,2,Random
T1TH33.75-2,0.6666666666666666,42,2,Random
T1TH33.75-3,0.9166666666666667,6,1,Random
T2TV33.12,0.6857142857142857,70,2,Random
T2TZ33.10,0.29516129032258065,62,5,Random
T1TGN33.60-23,1.0,1,1,Random
T2TV33.14,0.36616161616161613,66,3,Random
T2TV33.13,0.5397727272727274,88,2,Random
T1SJC33.51-6,0.0625,8,1,Random
T2TV33.8,0.5833333333333334,6,1,Random
S3SG32.39-90-1,0.5125,40,1,Random
T1RD33.116-13,0.35625,40,4,Random
T1RD33.116-15,0.2083333333333333,12,1,Random
TSH33.179,0.6851851851851852,27,2,Random
T1SQ33.15-11-77,0.8653846153846154,26,1,Random
T1SQ33.15-11-80,0.24999999999999994,10,1,Random
T1SQ33.15-11-85,0.13829787234042548,47,2,Random
S3RW32.138-29-5,0.9863636363636363,110,1,Random
T1TZ33.3-50,0.65625,16,1,Random
T1TZ33.3-52,0.3840579710144928,23,3,Random
T1TH33.75-12-6,0.55,10,1,Random
T2SA33.9,0.24999999999999994,6,1,Random
T1SSM33.1-49,0.07142857142857142,7,1,Random
T1SSM33.1-100,0.25,2,1,Random
T2TV33.33,0.4375,16,2,Random
T2TV33.45-9,0.5352564102564102,52,3,Random
T1TZ33.3-60,1.0,1,1,Random
T2TV33.31,0.3020833333333333,48,3,Random
T1TR33.43-20-24,0.875,4,1,Random
T2TT33.60-3,0.3886554621848739,119,4,Random
T2TT33.60-5,0.05555555555555555,9,1,Random
T2TT33.60-7,0.12500000000000003,12,1,Random
T2TV33.32,0.5,9,1,Random
T2TV33.34,0.6851851851851852,27,1,Random
T2TV33.35,0.16666666666666666,3,1,Random
TTM33.1,0.38235294117647056,17,1,Random
TTM33.15,0.875,12,1,Random
T1RG33.135-56,0.6666666666666666,18,2,Random
T1RM33.1-89,0.86,25,1,Random
T1RM33.1-92,0.14999999999999997,10,1,Random
T1RM33.1-54,0.20370370370370375,27,1,Random
T1RG33.135-109-1,0.66,25,1,Random
T1RG33.135-89,0.7083333333333334,12,1,Random
TTC33.18,0.702127659574468,47,2,Random
TTC33.19,0.43333333333333335,15,1,Random
TTD33.21,0.5657894736842106,57,4,Random
TTD33.20,0.06000000000000004,25,1,Random
TTD33.16,0.7916666666666666,12,1,Random
T3TC33.10,0.6875,8,1,Random
T2TV33.45-5,0.7307692307692307,13,1,Random
T2TV33.45-8,0.5754716981132075,53,5,Random
S3RO32.16,0.611111111111111,15,3,Random
TTDC33.16,0.2291666666666667,24,1,Random
T3TDC33.3,0.25,2,1,Random
T1TZ33.3-62-29,0.5625,16,2,Random
T2ST33.92,0.30357142857142855,28,1,Random
T2TZ33.18-16-17,0.25,2,1,Random
T3TM33.7,0.4166666666666667,6,1,Random
T2TV33.45-10-4,0.55,10,2,Random
S3RYA32.16,0.8500000000000001,10,2,Random
T2TV33.45-10-5,0.375,4,2,Random
T3SL33.5,0.8653846153846154,26,1,Random
T1RM33.1-110-4,0.6578947368421052,19,1,Random
T1SU33.1-124-4,0.38,25,1,Random
T2TV33.45-31,0.7000000000000001,15,1,Random
T3TP33.2,0.5,5,1,Random
T2TV33.45-10-20,0.9761904761904762,21,1,Random
T3TB33.2-5,0.3529411764705882,17,2,Random
T3SL33.8,0.5,9,2,Random
T3SL33.16,0.532258064516129,62,2,Random
S3RYA32.35,0.4,5,2,Random
T3TD33.10,1.0,1,1,Random
T2SR33.54,0.4166666666666667,6,1,Random
T3TDC33.16-14,0.423076923076923,13,1,Random
T3TM33.23-10,0.32500000000000007,20,1,Random
T3TDC33.16-12,0.5217391304347826,23,2,Random
T2SR33.35,0.12500000000000003,12,1,Random
T2ST33.105-15,0.03333333333333337,45,1,Random
S3RYA32.49-8,0.4166666666666667,12,4,Random
S3RYA32.49-7,0.12500000000000003,12,1,Random
UTR34.96,0.5576923076923077,52,4,Random
T1TR33.4-30-75,0.03333333333333333,15,1,Random
T3TB33.2-24,0.375,4,1,Random
UUG34.27,0.5909090909090908,11,1,Random
T2SV33.40,0.65625,16,1,Random
T2SV33.42,0.12500000000000003,12,1,Random
UTPN34.116,0.26190476190476186,63,1,Random
UTP34.79,0.8529411764705882,17,1,Random
UUG34.23,0.7307692307692307,13,1,Random
UTR34.93,0.8712121212121212,66,1,Random
UTR34.92,0.8125,24,1,Random
UTR34.88,0.3421052631578947,19,1,Random
U1TR34.8-7,0.28750000000000003,40,1,Random
T3SL33.16-9,0.525,80,2,Random
T3SL33.16-11,0.7888888888888889,15,3,Random
UST34.30,0.8333333333333334,21,1,Random
USH34.104,0.05555555555555555,9,1,Random
UTPN34.141,1.0,1,1,Random
UTPN34.147,0.71875,16,1,Random
UTP34.84,0.39473684210526316,19,1,Random
UTP34.83,0.5851063829787234,47,1,Random
T3TF33.14,0.875,12,1,Random
T3TF33.19,0.6,5,2,Random
T3TF33.13,0.25,22,1,Random
T3TF33.11,0.45238095238095244,21,1,Random
T3TF33.36,0.9,5,1,Random
T2TV33.45-74,0.125,4,1,Random
T2TZ33.18-59,0.9615384615384616,13,1,Random
UUFN34.11,0.37500000000000006,36,1,Random
UUFN34.25,0.1875,8,1,Random
UUFN34.26,0.5,15,1,Random
UUFN34.27,0.4375,8,1,Random
UUFN34.24,0.9285714285714286,7,1,Random
T2SE33.73-8,1.0,1,1,Random
T3SG33.102,0.9210526315789473,19,1,Random
T3SG33.92,0.9583333333333333,12,1,Random
UUG34.20,1.0,1,1,Random
UTR34.116,1.0,1,1,Random
UUB34.4,0.625,4,1,Random
U1TPN34.18,0.4166666666666667,6,1,Random
T2TV33.45-110,0.3125,8,1,Random
U1UD34.11,0.7,5,1,Random
UTPN34.176,0.8333333333333334,3,1,Random
USH34.151,0.3958333333333333,24,2,Random
U1SH34.15,0.25,8,2,Random
U1UFN34.18,0.29999999999999993,5,1,Random
UUB34.24,0.53,50,1,Random
UUB34.22,0.3571428571428571,7,1,Random
U1UD34.16-7,1.0,1,1,Random
U1TC34.42,0.125,4,1,Random
U1TC34.22-12,0.6666666666666667,9,2,Random
UTR34.153,0.6739130434782609,23,1,Random
U2TR34.23,0.25,4,2,Random
U2TB34.26,0.40625,16,1,Random
UST34.88,0.8846153846153846,13,1,Random
UST34.90,0.4090909090909091,11,1,Random
UTT34.104,1.0,1,1,Random
U1TR34.8-30,0.4024390243902439,41,1,Random
UUM34.28,0.7,5,1,Random
UUM34.23,0.6944444444444445,18,1,Random
U1UFN34.36,0.5,2,2,Random
U1TP34.29-18,0.9,5,1,Random
UUB34.27,0.15094339622641506,53,2,Random
UUB34.31,0.7499999999999999,12,2,Random
UUB34.30,0.045454545454545456,11,1,Random
U2UM34.12,0.375,4,1,Random
U2UU34.40-14-1,0.5,3,1,Random
U1TD34.74,0.08333333333333333,6,1,Random
UUX34.51,0.6818181818181818,11,2,Random
U3UX34.29,0.4166666666666667,6,1,Random
U3UX34.1,0.017241379310344827,29,1,Random
U3UX34.56,0.9285714285714286,7,1,Random
U3UX34.54,0.3602941176470588,34,4,Random
U1TM34.84,0.74,25,1,Random
U1TGN34.42-19,0.319672131147541,61,1,Random
U1UFN34.41-23,0.06818181818181815,22,1,Random
U1SQ34.53-14,0.24999999999999994,6,1,Random
U1SQ34.53-12,0.875,4,1,Random
U2UB34.42,0.24999999999999994,6,1,Random
UUU34.15,0.49999999999999994,6,6,Random
UUU34.25,1.0,1,1,Random
U2UU34.2,0.5,5,5,Random
UUU34.21,1.0,1,1,Random
U1UG34.23-23-5,0.16666666666666666,3,1,Random
UTR34.173,1.0,1,1,Random
UUC34.7,0.8333333333333334,3,1,Random
UUV34.58,0.5,27,1,Random
UUV34.54,0.4583333333333333,12,5,Random
U2UB34.43,0.12500000000000003,12,2,Random
UUX34.47,0.3292682926829268,41,1,Random
UUV34.59,0.3055555555555555,36,4,Random
UUX34.48,0.2894736842105263,19,2,Random
UUV34.63,0.66,25,1,Random
UUV34.57,0.975,20,1,Random
UUV34.66,0.55,10,1,Random
U3UC34.9,0.0078125,64,1,Random
U3UC34.32,0.2708333333333333,24,3,Random
U3UC34.33,0.1666666666666667,9,1,Random
UUC34.37,0.31249999999999994,24,2,Random
U3UC34.8,0.9134615384615384,52,1,Random
U2UM34.27-8,1.0,1,1,Random
U1TDC34.9-2,0.06000000000000004,25,2,Random
U1TM34.85,0.5,2,2,Random
U1TM34.81,0.4090909090909091,11,1,Random
U3TZ34.6,0.3364661654135339,133,4,Random
UTZ34.31,0.29999999999999993,5,1,Random
U3TZ34.5,0.5357142857142857,28,2,Random
U3UC34.56,0.49242424242424243,22,3,Random
U3UC34.63-31,0.13157894736842105,19,1,Random
U1TT34.126,1.0,1,1,Random
U2UU34.1,0.5,2,2,Random
U1UG34.23-55,0.25,2,1,Random
U3TZ34.4,0.9772727272727273,22,1,Random
UTO34.163,0.7,5,1,Random
U3UFN34.1,0.625,4,1,Random
U3UX34.30,1.0,1,1,Random
UUX34.52,0.5,12,2,Random
U3UX34.3,0.4444444444444444,18,2,Random
U3UX34.5,0.6314102564102564,52,3,Random
U1TD34.100-7,1.0,1,1,Random
U2UB34.44-20,0.29999999999999993,5,1,Random
U3UX34.7,0.7415458937198067,69,3,Random
U3UW34.44,0.8333333333333334,9,1,Random
U2UU34.17,1.0,1,1,Random
T2RK33.71,0.4,20,2,Random
U1TGN34.42-67,0.7857142857142857,7,1,Random
U3TR34.8,0.3611111111111111,6,3,Random
U3UX34.8,0.6538461538461539,13,2,Random
U2SL34.1-4,0.8846153846153847,26,2,Random
U3UX34.9,1.0,1,1,Random
U1TF34.67,0.7857142857142857,7,1,Random
U1TF34.44,0.5540540540540541,37,1,Random
U1TO34.1-33,0.375,4,1,Random
U2SL34.1-17,0.5,3,1,Random
U3TZ34.2-38,0.467741935483871,31,1,Random
U3UW34.19,0.6428571428571428,7,1,Random
U3TZ34.2-20,0.516025641025641,52,3,Random
U3TZ34.2-18,0.3669724770642202,109,6,Random
U3TZ34.2-22,0.5,19,2,Random
U3UV34.26-2,0.6640625,64,1,Random
U3UV34.26-5,0.5357142857142857,14,1,Random
U3UV34.26-3,0.43333333333333335,15,1,Random
U2UU34.40-5,1.0,1,1,Random
U2UB34.44-42,0.24999999999999994,10,1,Random
U2UUI34.40-6,1.0,1,1,Random
U3UW34.27,0.6944444444444445,18,1,Random
U3TB34.26,0.8125,8,2,Random
U1TDC34.9-34,0.5476190476190477,21,1,Random
UUI34.37,0.25,2,1,Random
U3UX34.56-1,0.5657894736842105,76,4,Random
U3UX34.56-2,0.45789473684210524,57,5,Random
U3UX34.56-3,0.29736842105263156,38,5,Random
U3TV34.1-19,0.2748226950354609,94,3,Random
U2UB34.44-71,0.5,7,1,Random
UTB34.309,0.2777777777777778,27,2,Random
UTB34.291,0.489247311827957,31,3,Random
UTB34.292,0.6590909090909091,22,2,Random
UUFN34.170,0.125,4,1,Random
U3UV34.26-25,0.5789473684210525,19,6,Random
UTO34.266,0.5535714285714286,28,1,Random
USQ34.227,0.5,14,2,Random
UUFN34.192,0.38888888888888895,9,1,Random
USQ34.230,0.7,5,2,Random
UTO34.265,0.625,20,3,Random
UUC34.59,0.7222222222222223,9,2,Random
U2UAN34.72-35,1.0,1,1,Random
U3UV34.26-27,0.5595238095238095,14,3,Random
UUI34.31,0.5,7,1,Random
U3UC34.63-24,0.46428571428571425,28,4,Random
U1SJ34.2-54,1.0,1,1,Random
U3UX34.56-17,0.34615384615384615,13,1,Random
U3UW34.67-6,0.109375,32,1,Random
U1RD34.43,0.8333333333333334,3,1,Random
U3UC34.63-23,0.423076923076923,13,1,Random
U3UC34.63-26,0.5634146341463415,41,10,Random
U3UX34.56-20,0.8333333333333334,9,1,Random
U3UX34.56-19,0.46153846153846156,13,2,Random
U3TZ34.2-58,1.0,1,1,Random
U3UO34.49-15,0.32352941176470584,17,1,Random
U3TZ34.67,0.38888888888888895,9,1,Random
U3TV34.1-43,0.7,5,1,Random
U3TV34.1-48,0.765625,32,1,Random
UUI34.32,0.49999999999999994,6,6,Random
U3TV34.1-51,0.4814814814814815,9,6,Random
U1UG34.23-85,0.75,2,1,Random
T3TF33.66-56,0.09375,16,1,Random
U3UX34.56-23,0.6538461538461539,13,5,Random
U3UX34.56-22,0.75,4,2,Random
U3UX34.56-37,0.875,4,1,Random
U3UO34.49-36,0.05555555555555555,9,1,Random
S2SD32.21-85-3-2-1,0.23333333333333328,15,1,Recency
T2SD33.27,0.0609756097560976,41,1,Recency
T2SD33.26,0.36979166666666663,32,3,Recency
T2SD33.21,0.6111111111111112,9,1,Recency
T1TR33.43-40,0.08333333333333336,50,3,Recency
T2TV33.10,0.15068493150684933,73,2,Recency
T2TV33.11,0.3269230769230769,26,2,Recency
T2TV33.7,0.6875,8,2,Recency
T1TH33.75-2,0.3333333333333333,42,2,Recency
T1TH33.75-3,0.08333333333333333,6,1,Recency
T2TV33.12,0.22857142857142856,70,2,Recency
T2TZ33.10,0.15645161290322585,62,5,Recency
T1TGN33.60-23,1.0,1,1,Recency
T2TV33.14,0.36111111111111105,66,3,Recency
T2TV33.13,0.07954545454545453,88,2,Recency
T1SJC33.51-6,0.5625,8,1,Recency
T2TV33.8,0.9166666666666667,6,1,Recency
S3SG32.39-90-1,0.7875,40,1,Recency
T1RD33.116-13,0.12500000000000006,40,4,Recency
T1RD33.116-15,0.6249999999999999,12,1,Recency
TSH33.179,0.611111111111111,27,2,Recency
T1SQ33.15-11-77,0.019230769230769232,26,1,Recency
T1SQ33.15-11-80,0.24999999999999994,10,1,Recency
T1SQ33.15-11-85,0.13829787234042548,47,2,Recency
S3RW32.138-29-5,0.2681818181818182,110,1,Recency
T1TZ33.3-50,0.28125,16,1,Recency
T1TZ33.3-52,0.19565217391304346,23,3,Recency
T1TH33.75-12-6,0.75,10,1,Recency
T2SA33.9,0.9166666666666667,6,1,Recency
T1SSM33.1-49,0.07142857142857142,7,1,Recency
T1SSM33.1-100,0.25,2,1,Recency
T2TV33.33,0.40625,16,2,Recency
T2TV33.45-9,0.22756410256410256,52,3,Recency
T1TZ33.3-60,1.0,1,1,Recency
T2TV33.31,0.7881944444444444,48,3,Recency
T1TR33.43-20-24,0.375,4,1,Recency
T2TT33.60-3,0.046218487394957944,119,4,Recency
T2TT33.60-5,0.05555555555555555,9,1,Recency
T2TT33.60-7,0.041666666666666664,12,1,Recency
T2TV33.32,0.8333333333333334,9,1,Recency
T2TV33.34,0.5,27,1,Recency
T2TV33.35,0.5,3,1,Recency
TTM33.1,0.1470588235294118,17,1,Recency
TTM33.15,0.041666666666666664,12,1,Recency
T1RG33.135-56,0.13888888888888895,18,2,Recency
T1RM33.1-89,0.02,25,1,Recency
T1RM33.1-92,0.24999999999999994,10,1,Recency
T1RM33.1-54,0.018518518518518517,27,1,Recency
T1RG33.135-109-1,0.06000000000000004,25,1,Recency
T1RG33.135-89,0.4583333333333333,12,1,Recency
TTC33.18,0.5212765957446809,47,2,Recency
TTC33.19,0.09999999999999998,15,1,Recency
TTD33.21,0.15789473684210528,57,4,Recency
TTD33.20,0.42000000000000004,25,1,Recency
TTD33.16,0.12500000000000003,12,1,Recency
T3TC33.10,0.6875,8,1,Recency
T2TV33.45-5,0.423076923076923,13,1,Recency
T2TV33.45-8,0.2547169811320754,53,5,Recency
S3RO32.16,0.4111111111111111,15,3,Recency
TTDC33.16,0.7708333333333334,24,1,Recency
T3TDC33.3,0.75,2,1,Recency
T1TZ33.3-62-29,0.3125,16,2,Recency
T2ST33.92,0.30357142857142855,28,1,Recency
T2TZ33.18-16-17,0.25,2,1,Recency
T3TM33.7,0.9166666666666667,6,1,Recency
T2TV33.45-10-4,0.24999999999999994,10,2,Recency
S3RYA32.16,0.3,10,2,Recency
T2TV33.45-10-5,0.25,4,2,Recency
T3SL33.5,0.13461538461538464,26,1,Recency
T1RM33.1-110-4,0.13157894736842105,19,1,Recency
T1SU33.1-124-4,0.5,25,1,Recency
T2TV33.45-31,0.03333333333333333,15,1,Recency
T3TP33.2,0.5,5,1,Recency
T2TV33.45-10-20,0.023809523809523808,21,1,Recency
T3TB33.2-5,0.05882352941176471,17,2,Recency
T3SL33.8,0.7777777777777778,9,2,Recency
T3SL33.16,0.08870967741935487,62,2,Recency
S3RYA32.35,0.19999999999999998,5,2,Recency
T3TD33.10,1.0,1,1,Recency
T2SR33.54,0.9166666666666667,6,1,Recency
T3TDC33.16-14,0.26923076923076916,13,1,Recency
T3TM33.23-10,0.025,20,1,Recency
T3TDC33.16-12,0.4130434782608695,23,2,Recency
T2SR33.35,0.041666666666666664,12,1,Recency
T2ST33.105-15,0.011111111111111112,45,1,Recency
S3RYA32.49-8,0.16666666666666666,12,4,Recency
S3RYA32.49-7,0.9583333333333333,12,1,Recency
UTR34.96,0.12980769230769232,52,4,Recency
T1TR33.4-30-75,0.43333333333333335,15,1,Recency
T3TB33.2-24,0.375,4,1,Recency
UUG34.27,0.3181818181818182,11,1,Recency
T2SV33.40,0.71875,16,1,Recency
T2SV33.42,0.6249999999999999,12,1,Recency
UTPN34.116,0.023809523809523864,63,1,Recency
UTP34.79,0.5,17,1,Recency
UUG34.23,0.9615384615384616,13,1,Recency
UTR34.93,0.2803030303030303,66,1,Recency
UTR34.92,0.3541666666666667,24,1,Recency
UTR34.88,0.02631578947368421,19,1,Recency
U1TR34.8-7,0.21249999999999997,40,1,Recency
T3SL33.16-9,0.23124999999999998,80,2,Recency
T3SL33.16-11,0.5222222222222223,15,3,Recency
UST34.30,0.7857142857142857,21,1,Recency
USH34.104,0.05555555555555555,9,1,Recency
UTPN34.141,1.0,1,1,Recency
UTPN34.147,0.90625,16,1,Recency
UTP34.84,0.13157894736842105,19,1,Recency
UTP34.83,0.6276595744680851,47,1,Recency
T3TF33.14,0.6249999999999999,12,1,Recency
T3TF33.19,0.5,5,2,Recency
T3TF33.13,0.43181818181818177,22,1,Recency
T3TF33.11,0.9761904761904762,21,1,Recency
T3TF33.36,0.1,5,1,Recency
T2TV33.45-74,0.375,4,1,Recency
T2TZ33.18-59,0.038461538461538464,13,1,Recency
UUFN34.11,0.37500000000000006,36,1,Recency
UUFN34.25,0.8125,8,1,Recency
UUFN34.26,0.7666666666666667,15,1,Recency
UUFN34.27,0.0625,8,1,Recency
UUFN34.24,0.9285714285714286,7,1,Recency
T2SE33.73-8,1.0,1,1,Recency
T3SG33.102,0.9210526315789473,19,1,Recency
T3SG33.92,0.12500000000000003,12,1,Recency
UUG34.20,1.0,1,1,Recency
UTR34.116,1.0,1,1,Recency
UUB34.4,0.125,4,1,Recency
U1TPN34.18,0.08333333333333333,6,1,Recency
T2TV33.45-110,0.1875,8,1,Recency
U1UD34.11,0.9,5,1,Recency
UTPN34.176,0.8333333333333334,3,1,Recency
USH34.151,0.49999999999999994,24,2,Recency
U1SH34.15,0.125,8,2,Recency
U1UFN34.18,0.1,5,1,Recency
UUB34.24,0.77,50,1,Recency
UUB34.22,0.21428571428571433,7,1,Recency
U1UD34.16-7,1.0,1,1,Recency
U1TC34.42,0.375,4,1,Recency
U1TC34.22-12,0.4444444444444444,9,2,Recency
UTR34.153,0.9347826086956522,23,1,Recency
U2TR34.23,0.375,4,2,Recency
U2TB34.26,0.21875,16,1,Recency
UST34.88,0.6538461538461539,13,1,Recency
UST34.90,0.5909090909090908,11,1,Recency
UTT34.104,1.0,1,1,Recency
U1TR34.8-30,0.524390243902439,41,1,Recency
UUM34.28,0.9,5,1,Recency
UUM34.23,0.4722222222222222,18,1,Recency
U1UFN34.36,0.5,2,2,Recency
U1TP34.29-18,0.1,5,1,Recency
UUB34.27,0.08490566037735847,53,2,Recency
UUB34.31,0.6666666666666666,12,2,Recency
UUB34.30,0.045454545454545456,11,1,Recency
U2UM34.12,0.125,4,1,Recency
U2UU34.40-14-1,0.5,3,1,Recency
U1TD34.74,0.08333333333333333,6,1,Recency
UUX34.51,0.3181818181818182,11,2,Recency
U3UX34.29,0.08333333333333333,6,1,Recency
U3UX34.1,0.05172413793103444,29,1,Recency
U3UX34.56,0.3571428571428571,7,1,Recency
U3UX34.54,0.5661764705882353,34,4,Recency
U1TM34.84,0.9,25,1,Recency
U1TGN34.42-19,0.07377049180327865,61,1,Recency
U1UFN34.41-23,0.9318181818181818,22,1,Recency
U1SQ34.53-14,0.08333333333333333,6,1,Recency
U1SQ34.53-12,0.875,4,1,Recency
U2UB34.42,0.5833333333333334,6,1,Recency
UUU34.15,0.49999999999999994,6,6,Recency
UUU34.25,1.0,1,1,Recency
U2UU34.2,0.5,5,5,Recency
UUU34.21,1.0,1,1,Recency
U1UG34.23-23-5,0.5,3,1,Recency
UTR34.173,1.0,1,1,Recency
UUC34.7,0.8333333333333334,3,1,Recency
UUV34.58,0.5370370370370371,27,1,Recency
UUV34.54,0.49166666666666664,12,5,Recency
U2UB34.43,0.12500000000000003,12,2,Recency
UUX34.47,0.6463414634146342,41,1,Recency
UUV34.59,0.1111111111111111,36,4,Recency
UUX34.48,0.05263157894736839,19,2,Recency
UUV34.63,0.78,25,1,Recency
UUV34.57,0.775,20,1,Recency
UUV34.66,0.05,10,1,Recency
U3UC34.9,0.0546875,64,1,Recency
U3UC34.32,0.4513888888888889,24,3,Recency
U3UC34.33,0.1666666666666667,9,1,Recency
UUC34.37,0.8125,24,2,Recency
U3UC34.8,0.3365384615384615,52,1,Recency
U2UM34.27-8,1.0,1,1,Recency
U1TDC34.9-2,0.33999999999999997,25,2,Recency
U1TM34.85,0.5,2,2,Recency
U1TM34.81,0.045454545454545456,11,1,Recency
U3TZ34.6,0.1672932330827068,133,4,Recency
UTZ34.31,0.1,5,1,Recency
U3TZ34.5,0.33928571428571425,28,2,Recency
U3UC34.56,0.38636363636363635,22,3,Recency
U3UC34.63-31,0.02631578947368421,19,1,Recency
U1TT34.126,1.0,1,1,Recency
U2UU34.1,0.5,2,2,Recency
U1UG34.23-55,0.25,2,1,Recency
U3TZ34.4,0.38636363636363635,22,1,Recency
UTO34.163,0.29999999999999993,5,1,Recency
U3UFN34.1,0.375,4,1,Recency
U3UX34.30,1.0,1,1,Recency
UUX34.52,0.2083333333333333,12,2,Recency
U3UX34.3,0.6666666666666666,18,2,Recency
U3UX34.5,0.5737179487179487,52,3,Recency
U1TD34.100-7,1.0,1,1,Recency
U2UB34.44-20,0.1,5,1,Recency
U3UX34.7,0.4710144927536231,69,3,Recency
U3UW34.44,0.9444444444444444,9,1,Recency
U2UU34.17,1.0,1,1,Recency
T2RK33.71,0.17500000000000002,20,2,Recency
U1TGN34.42-67,0.21428571428571433,7,1,Recency
U3TR34.8,0.3611111111111111,6,3,Recency
U3UX34.8,0.26923076923076916,13,2,Recency
U2SL34.1-4,0.1538461538461538,26,2,Recency
U3UX34.9,1.0,1,1,Recency
U1TF34.67,0.07142857142857142,7,1,Recency
U1TF34.44,0.33783783783783783,37,1,Recency
U1TO34.1-33,0.125,4,1,Recency
U2SL34.1-17,0.16666666666666666,3,1,Recency
U3TZ34.2-38,0.14516129032258063,31,1,Recency
U3UW34.19,0.21428571428571433,7,1,Recency
U3TZ34.2-20,0.2724358974358974,52,3,Recency
U3TZ34.2-18,0.34097859327217117,109,6,Recency
U3TZ34.2-22,0.05263157894736839,19,2,Recency
U3UV34.26-2,0.1171875,64,1,Recency
U3UV34.26-5,0.75,14,1,Recency
U3UV34.26-3,0.16666666666666663,15,1,Recency
U2UU34.40-5,1.0,1,1,Recency
U2UB34.44-42,0.35000000000000003,10,1,Recency
U2UUI34.40-6,1.0,1,1,Recency
U3UW34.27,0.8055555555555556,18,1,Recency
U3TB34.26,0.625,8,2,Recency
U1TDC34.9-34,0.023809523809523808,21,1,Recency
UUI34.37,0.75,2,1,Recency
U3UX34.56-1,0.14144736842105257,76,4,Recency
U3UX34.56-2,0.3771929824561404,57,5,Recency
U3UX34.56-3,0.2447368421052632,38,5,Recency
U3TV34.1-19,0.5088652482269503,94,3,Recency
U2UB34.44-71,0.3571428571428571,7,1,Recency
UTB34.309,0.18518518518518515,27,2,Recency
UTB34.291,0.553763440860215,31,3,Recency
UTB34.292,0.5,22,2,Recency
UUFN34.170,0.875,4,1,Recency
